43,52,15.5,113,44,53.3
43,52,15.6,113,44,51.5
43,52,16,113,44,50.6
43,52,16.6,113,44,49.7
43,52,17.7,113,44,48.7
43,52,19.1,113,44,48.4
43,52,19.9,113,44,48.3
43,52,19.9,113,44,48.1
43,52,20.1,113,44,48.1
43,52,19.5,113,44,48.4
43,52,20.3,113,44,48.7
43,52,20.8,113,44,48.8
43,52,21.2,113,44,49.1
43,52,21.9,113,44,49.7
43,52,22.7,113,44,50.3
43,52,23.5,113,44,50.2
43,52,22.6,113,44,50.2
43,52,22.1,113,44,50
43,52,20.6,113,44,50.4
43,52,19.5,113,44,50.3
43,52,18.6,113,44,50.1
43,52,17.8,113,44,49.5
43,52,18.8,113,44,48.3
43,52,19.5,113,44,48.5
43,52,19.1,113,44,49.2
43,52,19.4,113,44,48.5
43,52,19.5,113,44,48.5
43,52,19.4,113,44,48.7
43,52,18.7,113,44,48.3
43,52,18.1,113,44,47.9
43,52,16.8,113,44,47.9
43,52,17,113,44,49.2
43,52,17.5,113,44,51.1
43,52,18.5,113,44,52.5
43,52,19,113,44,54.1
